309,"[[36.90496719962048, 0.12668627653988843], [36.90509055835499, 0.12668089804075428], [36.905091061599066, 0.12646428584611807], [36.905050737648025, 0.1264258166961191], [36.90496779401751, 0.1264305077579009]]"
310,"[[36.90509055835499, 0.12668089804075428], [36.90521391799729, 0.1266755195402425], [36.90521442406211, 0.12645730793686116], [36.905091061599066, 0.12646428584611807]]"
311,"[[36.90521391799729, 0.1266755195402425], [36.90534026464853, 0.12667001108840928], [36.90534077533323, 0.12645016210262744], [36.90521442406211, 0.12645730793686116]]"
312,"[[36.90534026464853, 0.12667001108840928], [36.90546661220804, 0.12666450263512757], [36.905467126614575, 0.12644301536248428], [36.90534077533323, 0.12645016210262744]]"
313,"[[36.90546661220804, 0.12666450263512757], [36.90559295977773, 0.12665899418032425], [36.905593477906, 0.12643586952467614], [36.905467126614575, 0.12644301536248428]]"
314,"[[36.90559295977773, 0.12665899418032425], [36.90571930735761, 0.12665348572399937], [36.90571982920767, 0.12642872278095874], [36.905593477906, 0.12643586952467614]]"
315,"[[36.90571930735761, 0.12665348572399937], [36.90584565494767, 0.12664797726615304], [36.90584618051941, 0.12642157693957656], [36.90571982920767, 0.12642872278095874]]"
316,"[[36.90584565494767, 0.12664797726615304], [36.90597200254791, 0.1266424688067853], [36.905972531841385, 0.1264144301922852], [36.90584618051941, 0.12642157693957656]]"
317,"[[36.90597200254791, 0.1266424688067853], [36.906098350158345, 0.12663696034589625], [36.90609888317344, 0.12640728434732953], [36.905972531841385, 0.1264144301922852]]"
318,"[[36.906098350158345, 0.12663696034589625], [36.906224696880955, 0.12663145097929027], [36.90622523451572, 0.12640013759646473], [36.90609888317344, 0.12640728434732953]]"
319,"[[36.906224696880955, 0.12663145097929027], [36.90635104451175, 0.12662594251535877], [36.906351585868094, 0.1263929917479359], [36.90622523451572, 0.12640013759646473]]"
320,"[[36.90635104451175, 0.12662594251535877], [36.90647739215272, 0.12662043404990628], [36.90647793723068, 0.12638584499349806], [36.906351585868094, 0.1263929917479359]]"
321,"[[36.90647739215272, 0.12662043404990628], [36.906603739803884, 0.12661492558293277], [36.906604288603354, 0.12637869914139657], [36.90647793723068, 0.12638584499349806]]"
322,"[[36.906603739803884, 0.12661492558293277], [36.90673008746522, 0.1266094171144384], [36.90673063998625, 0.12637155238338607], [36.906604288603354, 0.12637869914139657]]"
323,"[[36.90673008746522, 0.1266094171144384], [36.90685643513674, 0.1266039086444232], [36.90685699137922, 0.12636440652771225], [36.90673063998625, 0.12637155238338607]]"
324,"[[36.90685643513674, 0.1266039086444232], [36.90698278281844, 0.1265984001728872], [36.906983342782425, 0.1263572597661295], [36.90685699137922, 0.12636440652771225]]"
325,"[[36.90698278281844, 0.1265984001728872], [36.90710912961231, 0.1265928907956344], [36.9071096941957, 0.12635011390688386], [36.906983342782425, 0.1263572597661295]]"
326,"[[36.90710912961231, 0.1265928907956344], [36.90723547731436, 0.12658738232105718], [36.90723604561919, 0.12634296714172938], [36.9071096941957, 0.12635011390688386]]"
327,"[[36.90723547731436, 0.12658738232105718], [36.90736182502659, 0.12658187384495947], [36.90736239705277, 0.12633582127891235], [36.90723604561919, 0.12634296714172938]]"
328,"[[36.90736182502659, 0.12658187384495947], [36.907512532183695, 0.12657530319811502], [36.9075131088542, 0.12632729679811877], [36.90736239705277, 0.12633582127891235]]"
329,"[[36.907512532183695, 0.12657530319811502], [36.90763612641458, 0.1265699147428656], [36.90763656311115, 0.12632031434225457], [36.9075131088542, 0.12632729679811877]]"
330,"[[36.90763612641458, 0.1265699147428656], [36.90774392527821, 0.12656521484619995], [36.907745423280076, 0.12627340732001918], [36.9076769852599, 0.1262772786412718], [36.90763656311115, 0.12632031434225457]]"
308,"[[36.90496779401751, 0.1264305077579009], [36.905050737648025, 0.1264258166961191], [36.90509125134074, 0.12638277565633577], [36.90509185316251, 0.12612337409256863], [36.90496849071221, 0.12613035202722245]]"
307,"[[36.90509125134074, 0.12638277565633577], [36.905214613803054, 0.12637579774059954], [36.90521521562243, 0.12611639706033426], [36.90509185316251, 0.12612337409256863]]"
306,"[[36.905214613803054, 0.12637579774059954], [36.90533797627498, 0.12636882072728184], [36.9053385789901, 0.12610942002647071], [36.90521521562243, 0.12611639706033426]]"
305,"[[36.90533797627498, 0.12636882072728184], [36.90546133875659, 0.12636184371226075], [36.90546194146938, 0.1261024429908321], [36.9053385789901, 0.12610942002647071]]"
304,"[[36.90546133875659, 0.12636184371226075], [36.905584702145944, 0.1263548666956096], [36.90558530395842, 0.1260954650493693], [36.90546194146938, 0.1261024429908321]]"
303,"[[36.905584702145944, 0.1263548666956096], [36.905708064646994, 0.12634788877305994], [36.905708666457066, 0.1260884880103267], [36.90558530395842, 0.1260954650493693]]"
302,"[[36.905708064646994, 0.12634788877305994], [36.90583142715764, 0.12634091175292947], [36.90583202986347, 0.12608151096965525], [36.905708666457066, 0.1260884880103267]]"
301,"[[36.90583142715764, 0.12634091175292947], [36.90595478967798, 0.12633393473109608], [36.90595539238155, 0.12607453302308672], [36.90583202986347, 0.12608151096965525]]"
300,"[[36.90595478967798, 0.12633393473109608], [36.90607815310614, 0.12632695680351044], [36.906078754909245, 0.12606755597893896], [36.90595539238155, 0.12607453302308672]]"
